,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,-1.602564,-11.396011,16.025641,-3.205128,15.669516,-3.205128,16.025641,-11.396011,-1.602564,8.012821,-15.31339,8.012821,-8.012821,-7.834758,3.205128,-16.025641,61.253561,-16.025641,3.205128,-7.834758,-8.012821,1.602564,-23.148148,1.602564
,0,0,0,0,0,0,0,0,0,0,0,0,4.807692,16.025641,-39.88604,24.038462,3.205128,54.843305,-4.807692,1.602564,8.190883,-24.038462,8.012821,-29.558405,9.615385,-3.205128,-75.498576,48.076923,-16.025641,118.233618,-9.615385,-8.012821,20.655271,-48.076923,-1.602564,-56.980057
,0,0,0,0,0,0,0,0,0,0,0,0,-29.558405,-8.012821,24.038462,-39.88604,-16.025641,-4.807692,54.843305,-3.205128,-24.038462,8.190883,-1.602564,4.807692,-56.980057,1.602564,48.076923,-75.498576,3.205128,-9.615385,118.233618,16.025641,-48.076923,20.655271,8.012821,9.615385
,0,0,0,0,0,0,0,0,0,0,0,0,-8.012821,-15.31339,8.012821,-16.025641,-11.396011,-1.602564,3.205128,15.669516,-3.205128,1.602564,-11.396011,16.025641,-1.602564,-23.148148,1.602564,-3.205128,-7.834758,-8.012821,16.025641,61.253561,-16.025641,8.012821,-7.834758,3.205128
,0,0,0,0,0,0,0,0,0,0,0,0,24.038462,8.012821,-29.558405,4.807692,1.602564,8.190883,-24.038462,3.205128,54.843305,-4.807692,16.025641,-39.88604,48.076923,-1.602564,-56.980057,9.615385,-8.012821,20.655271,-48.076923,-16.025641,118.233618,-9.615385,-3.205128,-75.498576
,0,0,0,0,0,0,0,0,0,0,0,0,-39.88604,-16.025641,4.807692,-29.558405,-8.012821,-24.038462,8.190883,-1.602564,-4.807692,54.843305,-3.205128,24.038462,-75.498576,3.205128,9.615385,-56.980057,1.602564,-48.076923,20.655271,8.012821,-9.615385,118.233618,16.025641,48.076923
,0,0,0,0,0,0,0,0,0,0,0,0,-16.025641,-11.396011,1.602564,-8.012821,-15.31339,-8.012821,1.602564,-11.396011,-16.025641,3.205128,15.669516,3.205128,-3.205128,-7.834758,8.012821,-1.602564,-23.148148,-1.602564,8.012821,-7.834758,-3.205128,16.025641,61.253561,16.025641
,0,0,0,0,0,0,0,0,0,0,0,0,-4.807692,-1.602564,8.190883,-24.038462,-8.012821,-29.558405,4.807692,-16.025641,-39.88604,24.038462,-3.205128,54.843305,-9.615385,8.012821,20.655271,-48.076923,1.602564,-56.980057,9.615385,3.205128,-75.498576,48.076923,16.025641,118.233618
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0
,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0,0,0,0,0,0,0,0,0,0
,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0
